Name,Edition,Price,Type,Mana Cost
Sandblast,Cheapest Recent Printing - Hour of Devastation,0.05,Instant,sym_2 sym_w
Sandcloud Harbinger,Cheapest Recent Printing - Alchemy: Bloomburrow,N/A,Creature - Elemental Horse,sym_2 sym_w
Sandcrafter Mage,Cheapest Recent Printing - Dragons of Tarkir,0.04,Creature - Human Wizard,sym_2 sym_w
"Sandman, Shifting Scoundrel",Cheapest Recent Printing - Marvel's Spider-Man,0.31,Legendary Creature - Sand Elemental Villain,sym_1 sym_g sym_g
Sandman's Quicksand,Cheapest Recent Printing - Marvel's Spider-Man,0.03,Sorcery,sym_1 sym_b sym_b
Sands of Delirium,Cheapest Recent Printing - Magic 2013,0.58,Artifact,sym_3
Sands of Time,Cheapest Recent Printing - Visions,3.59,Artifact,sym_4
Sandskin,Cheapest Recent Printing - Onslaught,0.12,Enchantment - Aura,sym_2 sym_w
Sandskitter Outrider,Cheapest Recent Printing - Tarkir: Dragonstorm,0.04,Creature - Goblin Soldier,sym_3 sym_b
Sandsower,Cheapest Recent Printing - Ravnica: City of Guilds,0.11,Creature - Spirit,sym_3 sym_w
Sandstalker Moloch,Cheapest Recent Printing - March of the Machine,0.04,Creature - Lizard,sym_1 sym_g sym_g
Sandsteppe Citadel,Cheapest Recent Printing - Tarkir: Dragonstorm,0.16,Land,
Sandsteppe Mastodon,Cheapest Recent Printing - Fate Reforged,0.16,Creature - Elephant,sym_5 sym_g sym_g
Sandsteppe Outcast,Cheapest Recent Printing - Fate Reforged,0.05,Creature - Human Warrior,sym_2 sym_w
Sandsteppe Scavenger,Cheapest Recent Printing - Dragons of Tarkir,0.02,Creature - Dog Scout,sym_4 sym_g
Sandsteppe War Riders,Cheapest Recent Printing - March of the Machine Commander,0.12,Creature - Human Warrior,sym_3 sym_g
Sandstone Bridge,Cheapest Recent Printing - Battle for Zendikar,0.08,Land,
Sandstone Deadfall,Cheapest Recent Printing - Odyssey,0.14,Artifact,sym_3
Sandstone Needle,Cheapest Recent Printing - Mercadian Masques,2.06,Land,
Sandstone Oracle,Cheapest Recent Printing - The List,0.25,Artifact Creature - Sphinx,sym_7
Sandstone Warrior,Cheapest Recent Printing - Ninth Edition,0.03,Creature - Human Soldier Warrior,sym_2 sym_r sym_r
Sandstorm,Cheapest Recent Printing - Mirage,0.12,Instant,sym_g
Sandstorm Charger,Cheapest Recent Printing - Dragons of Tarkir,0.03,Creature - Beast,sym_4 sym_w
Sandstorm Crasher,Cheapest Recent Printing - Foundations Jumpstart,0.27,Creature - Minotaur Berserker Wizard,sym_3 sym_r
Sandstorm Eidolon,Cheapest Recent Printing - Dissension,0.07,Creature - Spirit,sym_3 sym_r
Sandstorm Salvager,Cheapest Recent Printing - The Big Score,0.73,Creature - Human Artificer,sym_2 sym_g
Sandstorm Verge,Cheapest Recent Printing - Outlaws of Thunder Junction,0.09,Land - Desert,
Sandworm,Cheapest Recent Printing - Final Fantasy,0.05,Creature - Worm,sym_4 sym_r
Sandwurm Convergence,Cheapest Recent Printing - Amonkhet,0.37,Enchantment,sym_6 sym_g sym_g
Sangrite Backlash,Cheapest Recent Printing - Alara Reborn,0.18,Enchantment - Aura,sym_bg sym_r
Sangrite Surge,Cheapest Recent Printing - Shards of Alara,0.08,Sorcery,sym_4 sym_r sym_g
Sangromancer,Cheapest Recent Printing - Mirrodin Besieged,1.07,Creature - Vampire Shaman,sym_2 sym_b sym_b
Sangrophage,Cheapest Recent Printing - Time Spiral,0.16,Creature - Zombie,sym_b sym_b
Sanguimancy,Cheapest Recent Printing - Born of the Gods,0.08,Sorcery,sym_4 sym_b
Sanguinary Mage,Cheapest Recent Printing - Shadows over Innistrad,0.03,Creature - Vampire Wizard,sym_1 sym_r
Sanguinary Priest,"Cheapest Recent Printing - Warhammer 40,000",1.22,Creature - Astartes Cleric,sym_3 sym_b
Sanguine Bond,Cheapest Recent Printing - Magic 2014 Core Set,3.65,Enchantment,sym_3 sym_b sym_b
Sanguine Brushstroke,Cheapest Recent Printing - Mystery Booster 2,36.02,Enchantment,sym_1 sym_b sym_b
Sanguine Evangelist,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.20,Creature - Vampire Cleric,sym_2 sym_w
Sanguine Glorifier,Cheapest Recent Printing - Rivals of Ixalan,0.05,Creature - Vampire Cleric,sym_3 sym_w
Sanguine Guard,Cheapest Recent Printing - Urza's Saga,0.22,Creature - Phyrexian Zombie Knight,sym_1 sym_b sym_b
Sanguine Indulgence,Cheapest Recent Printing - Foundations,0.08,Sorcery,sym_3 sym_b
Sanguine Praetor,Cheapest Recent Printing - Guildpact,0.27,Creature - Avatar Praetor,sym_6 sym_b sym_b
Sanguine Sacrament,Cheapest Recent Printing - Ixalan,0.25,Instant,sym_x sym_w sym_w
Sanguine Savior,Cheapest Recent Printing - Murders at Karlov Manor,0.06,Creature - Vampire Cleric,sym_1 sym_w sym_b
Sanguine Sipper,Cheapest Recent Printing - Unfinity,0.03,Creature - Vampire Guest,sym_1 sym_w
Sanguine Soothsayer,Cheapest Recent Printing - Alchemy: Bloomburrow,N/A,Creature - Bat Cleric,sym_1 sym_b
Sanguine Spy,Cheapest Recent Printing - Streets of New Capenna,0.16,Creature - Vampire Rogue,sym_2 sym_b
Sanguine Statuette,Cheapest Recent Printing - Innistrad: Crimson Vow,0.10,Artifact,sym_1 sym_r
Sanguine Syphoner,Cheapest Recent Printing - Foundations,0.06,Creature - Vampire Warlock,sym_1 sym_b
Sanitarium Skeleton,Cheapest Recent Printing - Core Set 2020,0.03,Creature - Skeleton,sym_b
Sanitation Automaton,Cheapest Recent Printing - Murders at Karlov Manor,0.05,Artifact Creature - Construct,sym_2
Sanity Gnawers,Cheapest Recent Printing - Alara Reborn,0.23,Creature - Rat,sym_1 sym_b sym_r
Sanity Grinding,Cheapest Recent Printing - Eventide,2.29,Sorcery,sym_u sym_u sym_u
"Sanwell, Avenger Ace",Cheapest Recent Printing - The Brothers' War Commander,0.13,Legendary Creature - Human Pilot,sym_1 sym_w
Sap Sucker,Cheapest Recent Printing - Unstable,0.10,Artifact - Contraption,
Sap Vitality,Cheapest Recent Printing - Alchemy: Innistrad,N/A,Instant,sym_b sym_b
Sapling of Colfenor,Cheapest Recent Printing - Commander 2021,2.94,Legendary Creature - Treefolk Shaman,sym_3 sym_bg sym_bg
Sapphire Charm,Cheapest Recent Printing - Mirage,0.17,Instant,sym_u
Sapphire Collector,Cheapest Recent Printing - Alchemy: Outlaws of Thunder Junction,N/A,Creature - Human Mercenary,sym_2 sym_r
Sapphire Dragon // Psionic Pulse,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.25,Creature - Dragon // Instant - Adventure,sym_5 sym_u sym_u sym_2 sym_u
Sapphire Drake,Cheapest Recent Printing - Gatecrash,0.06,Creature - Drake,sym_5 sym_u
Sapphire Leech,Cheapest Recent Printing - Invasion,0.29,Creature - Leech,sym_1 sym_u
Sapphire Medallion,Cheapest Recent Printing - Modern Horizons 3,4.18,Artifact,sym_2
Saprazzan Bailiff,Cheapest Recent Printing - Mercadian Masques,0.41,Creature - Merfolk,sym_3 sym_u sym_u
Saprazzan Breaker,Cheapest Recent Printing - Mercadian Masques,0.20,Creature - Beast,sym_4 sym_u
Saprazzan Cove,Cheapest Recent Printing - Mercadian Masques,0.78,Land,
Saprazzan Heir,Cheapest Recent Printing - Mercadian Masques,1.63,Creature - Merfolk,sym_1 sym_u
Saprazzan Legate,Cheapest Recent Printing - Mercadian Masques,0.33,Creature - Merfolk Soldier,sym_3 sym_u
Saprazzan Outrigger,Cheapest Recent Printing - Mercadian Masques,0.11,Creature - Merfolk,sym_3 sym_u
Saprazzan Raider,Cheapest Recent Printing - Mercadian Masques,0.14,Creature - Merfolk,sym_2 sym_u
Saprazzan Skerry,Cheapest Recent Printing - Mercadian Masques,1.89,Land,
Saproling,Cheapest Recent Printing - Extras: Ravnica Remastered,N/A,Token Creature - Saproling,
Saproling // Construct,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
"Saproling // Emblem: Garruk, Apex Predator",Cheapest Recent Printing - Extras: Modern Horizons 3 Commander,N/A,Token,
"Saproling // Emblem: Teferi, Temporal Archmage",Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Saproling // Food,Cheapest Recent Printing - Extras: Commander 2021,N/A,Token,
Saproling // Manifest,Cheapest Recent Printing - Extras: Murders at Karlov Manor Commander,N/A,Token,
Saproling // Marit Lage,Cheapest Recent Printing - Extras: Double Masters,N/A,Token,
Saproling // Morph,Cheapest Recent Printing - Extras: Murders at Karlov Manor Commander,N/A,Token,
Saproling // Phyrexian Golem,Cheapest Recent Printing - Extras: Double Masters 2022,N/A,Token,
Saproling // Plant,Cheapest Recent Printing - Extras: Double Masters,N/A,Token,
Saproling // Powerstone,Cheapest Recent Printing - Extras: Dominaria United,N/A,Token,
Saproling // Saproling,Cheapest Recent Printing - Extras: Commander 2016,N/A,Token,
Saproling // Servo,Cheapest Recent Printing - Extras: Double Masters,0.56,Token,
Saproling // Snake,Cheapest Recent Printing - Extras: Commander 2015,N/A,Token,
Saproling // Spider,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Saproling // Treasure,Cheapest Recent Printing - Extras: Bloomburrow Commander,N/A,Token,
Saproling // Wurm,Cheapest Recent Printing - Extras: Ravnica Remastered,N/A,Token,
Saproling // Zombie,Cheapest Recent Printing - Extras: Ravnica Remastered,N/A,Token,
Saproling Burst,Cheapest Recent Printing - Nemesis,1.98,Enchantment,sym_4 sym_g
Saproling Cluster,Cheapest Recent Printing - Nemesis,0.55,Enchantment,sym_1 sym_g
Saproling Infestation,Cheapest Recent Printing - Invasion,0.40,Enchantment,sym_1 sym_g
Saproling Migration,Cheapest Recent Printing - Dominaria,0.14,Sorcery,sym_1 sym_g
Saproling Symbiosis,Cheapest Recent Printing - Dominaria Remastered,0.39,Sorcery,sym_3 sym_g
Sapseep Forest,Cheapest Recent Printing - Shadowmoor,0.35,Land - Forest,
"Saradoc, Master of Buckland",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.23,Legendary Creature - Halfling Citizen,sym_3 sym_w
Sarah Jane Smith,Cheapest Recent Printing - Doctor Who,0.25,Legendary Creature - Human Detective,sym_1 sym_w
Sarah's Wings,Cheapest Recent Printing - Mystery Booster Playtest Cards 2021,0.28,Tribal Instant - Angel,sym_w
Sarcatog,Cheapest Recent Printing - Odyssey,0.21,Creature - Atog,sym_1 sym_b sym_r
Sarcomancy,Cheapest Recent Printing - Tempest,13.11,Enchantment,sym_b
Sarcomite Myr,Cheapest Recent Printing - Future Sight,0.21,Artifact Creature - Phyrexian Myr,sym_2 sym_u
Sardian Avenger,Cheapest Recent Printing - The Brothers' War Commander,0.67,Creature - Goblin Warrior,sym_1 sym_r
Sardian Cliffstomper,Cheapest Recent Printing - The Brothers' War,0.06,Creature - Minotaur Barbarian,sym_1 sym_r
Sarevok the Usurper,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_b
"Sarevok, Deadly Usurper",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_b sym_b
"Sarevok, Deathbringer",Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.06,Legendary Creature - Human Knight,sym_3 sym_b
"Sarevok, Deceitful Usurper",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_u sym_b
"Sarevok, Divine Usurper",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_w sym_b
"Sarevok, Ferocious Usurper",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_b sym_r
"Sarevok, Mighty Usurper",Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Legendary Creature - Human Knight,sym_3 sym_b sym_g
Sarevok's Tome,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,1.04,Artifact,sym_4
Sarinth Greatwurm,Cheapest Recent Printing - The Brothers' War,0.30,Creature - Wurm,sym_4 sym_r sym_g
Sarinth Steelseeker,Cheapest Recent Printing - The Brothers' War,0.19,Creature - Human Artificer Scout,sym_1 sym_g
Sarkhan the Mad,Cheapest Recent Printing - The List,0.83,Legendary Planeswalker - Sarkhan,sym_3 sym_b sym_r
Sarkhan the Masterless,Cheapest Recent Printing - War of the Spark,0.30,Legendary Planeswalker - Sarkhan,sym_3 sym_r sym_r
Sarkhan Unbroken,Cheapest Recent Printing - Dragons of Tarkir,17.04,Legendary Planeswalker - Sarkhan,sym_2 sym_g sym_u sym_r
Sarkhan Vol,Cheapest Recent Printing - Shards of Alara,2.75,Legendary Planeswalker - Sarkhan,sym_2 sym_r sym_g
"Sarkhan, Dragon Ascendant",Cheapest Recent Printing - Tarkir: Dragonstorm,0.20,Legendary Creature - Human Druid,sym_1 sym_r
"Sarkhan, Dragonsoul",Cheapest Recent Printing - Secret Lair Drop Series,2.78,Legendary Planeswalker - Sarkhan,sym_4 sym_r sym_r
"Sarkhan, Fireblood",Cheapest Recent Printing - Mystery Booster 2,0.51,Legendary Planeswalker - Sarkhan,sym_1 sym_r sym_r
"Sarkhan, Soul Aflame",Cheapest Recent Printing - Tarkir: Dragonstorm Commander,0.43,Legendary Creature - Human Shaman,sym_1 sym_u sym_r
"Sarkhan, the Dragonspeaker",Cheapest Recent Printing - Khans of Tarkir,0.39,Legendary Planeswalker - Sarkhan,sym_3 sym_r sym_r
"Sarkhan, Wanderer to Shiv",Cheapest Recent Printing - Jumpstart: Historic Horizons,N/A,Legendary Planeswalker - Sarkhan,sym_3 sym_r
Sarkhan's Catharsis,Cheapest Recent Printing - War of the Spark,0.05,Instant,sym_4 sym_r
Sarkhan's Dragonfire,Cheapest Recent Printing - Core Set 2019,0.27,Sorcery,sym_3 sym_r sym_r
Sarkhan's Rage,Cheapest Recent Printing - Dragons of Tarkir,0.06,Instant,sym_4 sym_r
Sarkhan's Resolve,Cheapest Recent Printing - Tarkir: Dragonstorm,0.05,Instant,sym_1 sym_g
Sarkhan's Scorn,Cheapest Recent Printing - Jumpstart: Historic Horizons,N/A,Instant,sym_2 sym_r
Sarkhan's Triumph,Cheapest Recent Printing - Dragons of Tarkir,2.28,Instant,sym_2 sym_r
Sarkhan's Unsealing,Cheapest Recent Printing - Core Set 2019,0.77,Enchantment,sym_3 sym_r
Sarkhan's Whelp,Cheapest Recent Printing - Core Set 2019,0.36,Creature - Dragon,sym_2 sym_r
"Sarpadian Empires, Vol. VII",Cheapest Recent Printing - Time Spiral,0.41,Artifact,sym_3
Sarpadian Simulacrum,Cheapest Recent Printing - Modern Horizons 3,0.04,Artifact Creature - Goblin,sym_r
"Sarulf, Realm Eater",Cheapest Recent Printing - Kaldheim,0.24,Legendary Creature - Wolf,sym_1 sym_b sym_g
Sarulf's Packmate,Cheapest Recent Printing - Kaldheim,0.03,Creature - Wolf,sym_3 sym_g
Saruli Caretaker,Cheapest Recent Printing - Ravnica Allegiance,0.15,Creature - Dryad,sym_g
Saruli Gatekeepers,Cheapest Recent Printing - Dragon's Maze,0.05,Creature - Elf Warrior,sym_3 sym_g
Saruman of Many Colors,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.61,Legendary Creature - Avatar Wizard,sym_3 sym_w sym_u sym_b
Saruman the White,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.08,Legendary Creature - Avatar Wizard,sym_4 sym_u
"Saruman, the White Hand",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth Commander,0.38,Legendary Creature - Avatar Wizard,sym_1 sym_u sym_b sym_r
Saruman's Trickery,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.12,Instant,sym_1 sym_u sym_u
"Saryth, the Viper's Fang",Cheapest Recent Printing - Innistrad: Midnight Hunt,0.94,Legendary Creature - Human Warlock,sym_2 sym_g sym_g
"Sasaya, Orochi Ascendant // Sasaya's Essence",Cheapest Recent Printing - Saviors of Kamigawa,2.70,Legendary Creature - Snake Monk // Legendary Enchantment,sym_1 sym_g sym_g
Saskia the Unyielding,Cheapest Recent Printing - Commander 2016,8.10,Legendary Creature - Human Soldier,sym_b sym_r sym_g sym_w
Sassy Gremlin Blood,Cheapest Recent Printing - Extras: Unfinity Sticker Sheets,0.19,Sticker,
Satoru Umezawa,Cheapest Recent Printing - Kamigawa: Neon Dynasty,0.38,Legendary Creature - Human Ninja,sym_1 sym_u sym_b
"Satoru, the Infiltrator",Cheapest Recent Printing - Outlaws of Thunder Junction,0.24,Legendary Creature - Human Ninja Rogue,sym_u sym_b
"Satsuki, the Living Lore",Cheapest Recent Printing - Kamigawa: Neon Dynasty,0.24,Legendary Creature - Human Druid,sym_g sym_w
"Satya, Aetherflux Genius",Cheapest Recent Printing - Modern Horizons 3 Commander,0.24,Legendary Creature - Human Artificer,sym_1 sym_u sym_r sym_w
Satyr,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token Creature - Satyr,
Satyr // Bird,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Clue,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Eldrazi Scion,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Goblin Construct,Cheapest Recent Printing - Extras: Challenger Decks 2021,N/A,Token,
Satyr // Gold,Cheapest Recent Printing - Extras: Theros Beyond Death,0.62,Token,
Satyr // Nightmare,Cheapest Recent Printing - Extras: Theros Beyond Death,0.42,Token,
Satyr // Spider,Cheapest Recent Printing - Extras: Theros Beyond Death,0.32,Token,
Satyr // Spirit,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Thopter,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Treasure,Cheapest Recent Printing - Extras: Commander Masters,N/A,Token,
Satyr // Wall,Cheapest Recent Printing - Extras: Theros Beyond Death,0.31,Token,
Satyr // Wolf,Cheapest Recent Printing - Extras: Theros Beyond Death,0.15,Token,
Satyr Enchanter,Cheapest Recent Printing - Core Set 2019,0.48,Creature - Satyr Druid,sym_1 sym_g sym_w
Satyr Firedancer,Cheapest Recent Printing - Born of the Gods,0.21,Enchantment Creature - Satyr,sym_1 sym_r
Satyr Grovedancer,Cheapest Recent Printing - Journey into Nyx,0.04,Creature - Satyr Shaman,sym_1 sym_g
Satyr Hedonist,Cheapest Recent Printing - Theros,0.05,Creature - Satyr,sym_1 sym_g
Satyr Hoplite,Cheapest Recent Printing - Journey into Nyx,0.04,Creature - Satyr Soldier,sym_r
Satyr Nyx-Smith,Cheapest Recent Printing - Born of the Gods,0.05,Creature - Satyr Shaman,sym_2 sym_r
Satyr Piper,Cheapest Recent Printing - Theros,0.07,Creature - Satyr Rogue,sym_2 sym_g
Satyr Rambler,Cheapest Recent Printing - Theros,0.04,Creature - Satyr,sym_1 sym_r
Satyr Wayfinder,Cheapest Recent Printing - Magic 2015 Core Set,0.06,Creature - Satyr,sym_1 sym_g
Satyr's Cunning,Cheapest Recent Printing - Theros Beyond Death,0.03,Sorcery,sym_r
Saurian Symbiote,Cheapest Recent Printing - Foundations Jumpstart,0.10,Creature - Fungus Dinosaur,sym_3 sym_g
Sauroform Hybrid,Cheapest Recent Printing - Ravnica Allegiance,0.05,Creature - Human Lizard Warrior,sym_1 sym_g
"Sauron, Lord of the Rings",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth Commander,0.17,Legendary Creature - Avatar Horror,sym_5 sym_u sym_b sym_r
"Sauron, the Dark Lord",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,6.66,Legendary Creature - Avatar Horror,sym_3 sym_u sym_b sym_r
"Sauron, the Lidless Eye",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,4.05,Legendary Creature - Avatar Horror,sym_3 sym_b sym_r
"Sauron, the Necromancer",Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.33,Legendary Creature - Avatar Horror,sym_3 sym_b sym_b
Sauron's Ransom,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.37,Instant,sym_1 sym_u sym_b
Sauté,Cheapest Recent Printing - Unhinged,0.21,Instant,sym_1 sym_r sym_r
Sautekh Immortal,"Cheapest Recent Printing - Warhammer 40,000 Surge Foils",0.52,Artifact Creature - Necron,sym_2 sym_b
Savaen Elves,Cheapest Recent Printing - The Dark,0.25,Creature - Elf,sym_g
Savage Alliance,Cheapest Recent Printing - Eldritch Moon,0.07,Instant,sym_2 sym_r
Savage Beating,Cheapest Recent Printing - Marvel Universe,4.62,Instant,sym_3 sym_r sym_r
Savage Conception,Cheapest Recent Printing - Eventide,0.16,Sorcery,sym_3 sym_g sym_g
Savage Firecat,Cheapest Recent Printing - Odyssey,0.28,Creature - Elemental Cat,sym_3 sym_r sym_r
Savage Gorger,Cheapest Recent Printing - Core Set 2020,0.26,Creature - Vampire,sym_1 sym_b sym_b
Savage Gorilla,Cheapest Recent Printing - Apocalypse,0.07,Creature - Ape,sym_4 sym_g
Savage Hunger,Cheapest Recent Printing - Shards of Alara,0.06,Enchantment - Aura,sym_2 sym_g
Savage Knuckleblade,Cheapest Recent Printing - Khans of Tarkir,0.15,Creature - Ogre Warrior,sym_g sym_u sym_r
Savage Lands,Cheapest Recent Printing - Shards of Alara,0.76,Land,
Savage Mansion,Cheapest Recent Printing - Marvel's Spider-Man,0.04,Land,
Savage Offensive,Cheapest Recent Printing - Invasion,0.15,Sorcery,sym_1 sym_r
Savage Order,Cheapest Recent Printing - Jurassic World Collection,17.88,Sorcery,sym_2 sym_g sym_g
Savage Punch,Cheapest Recent Printing - Khans of Tarkir,0.04,Sorcery,sym_1 sym_g
Savage Silhouette,Cheapest Recent Printing - Zendikar,0.04,Enchantment - Aura,sym_2 sym_g
Savage Smash,Cheapest Recent Printing - Ravnica Allegiance,0.05,Sorcery,sym_1 sym_r sym_g
Savage Stomp,Cheapest Recent Printing - Ixalan,0.13,Sorcery,sym_2 sym_g
Savage Summoning,Cheapest Recent Printing - Magic 2014 Core Set,0.98,Instant,sym_g
Savage Surge,Cheapest Recent Printing - Theros,0.03,Instant,sym_1 sym_g
Savage Swipe,Cheapest Recent Printing - Modern Horizons,0.04,Sorcery,sym_g
Savage Thallid,Cheapest Recent Printing - Time Spiral,0.56,Creature - Fungus,sym_3 sym_g sym_g
Savage Twister,Cheapest Recent Printing - Guildpact,0.19,Sorcery,sym_x sym_r sym_g
Savage Ventmaw,Cheapest Recent Printing - Foundations,0.67,Creature - Dragon,sym_4 sym_r sym_g
Savage Vigor Head,Cheapest Recent Printing - Challenge Deck: Face the Hydra,N/A,Elite Creature - Head,
Savageborn Hydra,Cheapest Recent Printing - Dragon's Maze,0.44,Creature - Hydra,sym_x sym_r sym_g
Savai Crystal,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.12,Artifact,sym_3
Savai Sabertooth,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.03,Creature - Cat,sym_1 sym_w
Savai Thundermane,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.05,Creature - Elemental Cat,sym_r sym_w
Savai Triome,Cheapest Recent Printing - Ikoria: Lair of Behemoths,16.71,Land - Mountain Plains Swamp,
Savannah,Cheapest Recent Printing - Collector's Edition,181.75,Land - Forest Plains,
Savannah Lions,Cheapest Recent Printing - Foundations,0.04,Creature - Cat,sym_w
Savannah Sage,Cheapest Recent Printing - Core Set 2020,0.17,Creature - Cat Cleric,sym_1 sym_w
Save Life,Cheapest Recent Printing - Unhinged,1.36,Instant,sym_w
Saving Grace,Cheapest Recent Printing - Hour of Devastation,0.26,Enchantment - Aura,sym_1 sym_w
Saving Grasp,Cheapest Recent Printing - Dark Ascension,0.09,Instant,sym_u
Savior of Ollenbock,Cheapest Recent Printing - Innistrad: Crimson Vow,0.21,Creature - Human Soldier,sym_1 sym_w sym_w
Savior of the Sleeping,Cheapest Recent Printing - Wilds of Eldraine,0.03,Creature - Human Knight,sym_2 sym_w
Savior of the Small,Cheapest Recent Printing - Duskmourn: House of Horror,0.05,Creature - Kor Survivor,sym_3 sym_w
Savor,Cheapest Recent Printing - Bloomburrow,0.04,Instant,sym_1 sym_b
Savor the Moment,Cheapest Recent Printing - Shadowmoor,9.11,Sorcery,sym_1 sym_u sym_u
"Savra, Queen of the Golgari",Cheapest Recent Printing - Ravnica Remastered,0.41,Legendary Creature - Elf Shaman,sym_2 sym_b sym_g
Savvy Hunter,Cheapest Recent Printing - Throne of Eldraine,0.22,Creature - Human Warrior,sym_1 sym_b sym_g
Savvy Trader,Cheapest Recent Printing - Outlaws of Thunder Junction Commander,0.98,Creature - Human Citizen,sym_3 sym_g
Saw,Cheapest Recent Printing - Duskmourn: House of Horror,0.05,Artifact - Equipment,sym_2
Saw in Half,Cheapest Recent Printing - Bloomburrow Commander,2.02,Instant,sym_2 sym_b
Saw It Coming,Cheapest Recent Printing - Kaldheim,0.30,Instant,sym_1 sym_u sym_u
Sawback Manticore,Cheapest Recent Printing - Mirage,0.49,Creature - Manticore,sym_3 sym_r sym_g
Sawblade Scamp,Cheapest Recent Printing - Phyrexia: All Will Be One,0.06,Creature - Phyrexian Beast,sym_r
Sawblade Skinripper,Cheapest Recent Printing - Duskmourn: House of Horror,0.06,Creature - Human Assassin,sym_1 sym_b sym_r
Sawblade Slinger,Cheapest Recent Printing - Innistrad: Crimson Vow,0.06,Creature - Human Archer,sym_3 sym_g
Sawhorn Nemesis,Cheapest Recent Printing - Modern Horizons 3 Commander,0.26,Creature - Dinosaur,sym_3 sym_r
Sawtooth Loon,Cheapest Recent Printing - Planeshift,0.23,Creature - Bird,sym_2 sym_w sym_u
Sawtooth Ogre,Cheapest Recent Printing - Weatherlight,0.09,Creature - Ogre,sym_2 sym_r sym_r
Sawtooth Thresher,Cheapest Recent Printing - Fifth Dawn,0.07,Artifact Creature - Construct,sym_6
Sawtusk Demolisher,Cheapest Recent Printing - Commander 2020,2.70,Creature - Beast,sym_4 sym_g sym_g
Say Its Name,Cheapest Recent Printing - Duskmourn: House of Horror,0.08,Sorcery,sym_1 sym_g
Sazacap's Brew,Cheapest Recent Printing - Bloomburrow,0.08,Instant,sym_1 sym_r
Sazh Katzroy,Cheapest Recent Printing - Final Fantasy,0.34,Legendary Creature - Human Pilot,sym_3 sym_g
Sazh's Chocobo,Cheapest Recent Printing - Final Fantasy,0.45,Creature - Bird,sym_g
Scab-Clan Berserker,Cheapest Recent Printing - Magic Origins,0.29,Creature - Human Berserker,sym_1 sym_r sym_r
Scab-Clan Charger,Cheapest Recent Printing - Gatecrash,0.05,Creature - Centaur Warrior,sym_3 sym_g
Scab-Clan Giant,Cheapest Recent Printing - Dragon's Maze,0.05,Creature - Giant Warrior,sym_4 sym_r sym_g
Scab-Clan Mauler,Cheapest Recent Printing - Guildpact,0.14,Creature - Human Berserker,sym_r sym_g
Scabland,Cheapest Recent Printing - Tempest,1.48,Land,
Scald,Cheapest Recent Printing - Urza's Saga,0.24,Enchantment,sym_1 sym_r
Scalding Cauldron,Cheapest Recent Printing - Throne of Eldraine,0.02,Artifact,sym_1
Scalding Devil,Cheapest Recent Printing - Avacyn Restored,0.10,Creature - Devil,sym_1 sym_r
Scalding Salamander,Cheapest Recent Printing - Exodus,0.21,Creature - Salamander,sym_2 sym_r
Scalding Tarn,Cheapest Recent Printing - Zendikar,25.59,Land,
Scalding Tongs,Cheapest Recent Printing - Tempest,0.35,Artifact,sym_2
